"","instnm","sector","unitid"
"1","Abraham Baldwin Agricultural College",22,138558
"2","Academy of Careers and Technology",69,237729
"3","Aiken Technical College",22,217615
"4","Alabama A & M University",43,100654
"5","Alabama Southern Community College",23,101949
"6","Alabama State University",44,100724
"7","Alamance Community College",22,199786
"8","Albany State University",44,138716
"9","Albany Technical College",61,138682
"10","Alcorn State University",44,175342
"11","Allegany College of Maryland",22,161688
"12","Altamaha Technical College",61,366447
"13","Alvin Community College",21,222567
"14","Amarillo College",21,222576
"15","Angelina College",21,222822
"16","Angelo State University",43,222831
"17","Anne Arundel Community College",21,161767
"18","Appalachian State University",43,197869
"19","Arkansas Northeastern College",23,107327
"20","Arkansas State University-Beebe",22,106449
"21","Arkansas State University-Newport",23,440402
"22","Arkansas Tech University",44,106467
"23","Armstrong Atlantic State University",44,138789
"24","Asheville-Buncombe Technical Community College",21,197887
"25","Ashland Community and Technical College",22,156231
"26","Athens State University",46,100812
"27","Athens Technical College",61,246813
"28","Atlanta Technical College",61,138840
"29","Auburn University",41,100858
"30","Auburn University at Montgomery",44,100830
"31","Augusta State University",45,138983
"32","Augusta Technical College",61,138956
"33","Austin Community College District",21,222992
"34","Austin Peay State University",43,219602
"35","Autry Technology Center",62,365213
"36","Bainbridge College",22,139010
"37","Baltimore City Community College",22,161864
"38","Baton Rouge Community College",21,437103
"39","Beaufort County Community College",23,197966
"40","Ben Franklin Career Center",69,237172
"41","Bevill State Community College",22,102429
"42","Big Sandy Community and Technical College",22,157553
"43","Bishop State Community College",22,102030
"44","Black River Technical College",23,106625
"45","Bladen Community College",23,198011
"46","Blinn College",21,223427
"47","Blue Ridge Community College",22,198039
"48","Blue Ridge Community College",22,231536
"49","Blue Ridge Community and Technical College",23,446774
"50","Bluefield State College",46,237215
"51","Bluegrass Community and Technical College",21,157173
"52","Bossier Parish Community College",22,158431
"53","Bowie State University",44,162007
"54","Brazosport College",29,223506
"55","Bridgemont Community and Technical College",23,445674
"56","Brookhaven College",21,223524
"57","Broward College",21,132709
"58","Brunswick Community College",23,198084
"59","Cabell County Career Technology Center",69,237242
"60","Caddo Kiowa Technology Center",62,364946
"61","Cameron University",45,206914
"62","Canadian Valley Technology Center",61,365374
"63","Cape Fear Community College",21,198154
"64","Carl Albert State College",23,206923
"65","Carroll Community College",22,405872
"66","Carteret Community College",23,198206
"67","Carver Career Center",69,430795
"68","Catawba Valley Community College",22,198233
"69","Central Alabama Community College",22,100760
"70","Central Carolina Community College",22,198251
"71","Central Carolina Technical College",22,218858
"72","Central Georgia Technical College",61,140304
"73","Central Piedmont Community College",21,198260
"74","Central Technology Center",62,246017
"75","Central Texas College",21,223816
